game_url,away_team_name,away_team_initials,away_record_status,away_Q1,away_Q2,away_Q3,away_Q4,away_final_score,home_team_name,home_team_initials,home_record_status,home_Q1,home_Q2,home_Q3,home_Q4,home_final_score,stadium_name,stadium_attendance,stadium_capacity,game_location,game_date
https://www.espn.com/nfl/playbyplay/_/gameId/401437786,Carolina Panthers,CAR,"1-5, 0-2 away",3,7,0,0,10,Los Angeles Rams,LAR,"3-3, 2-2 home",0,7,10,7,24,SoFi Stadium,"71,482","71,500","Inglewood, CA ","4:05 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437787,Arizona Cardinals,ARI,"2-4, 2-1 away",3,0,6,0,9,Seattle Seahawks,SEA,"3-3, 2-1 home",3,6,3,7,19,Lumen Field,"68,867","68,740","Seattle, WA ","4:05 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437788,Buffalo Bills,BUF,"5-1, 3-1 away",0,10,7,7,24,Kansas City Chiefs,KC,"4-2, 2-1 home",0,10,7,3,20,GEHA Field at Arrowhead Stadium,"73,586","72,936","Kansas City, MO ","4:25 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437789,Dallas Cowboys,DAL,"4-2, 2-1 away",0,3,7,7,17,Philadelphia Eagles,PHI,"6-0, 3-0 home",0,20,0,6,26,Lincoln Financial Field,"69,879","69,879","Philadelphia, PA ","8:20 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437790,Denver Broncos,DEN,"2-4, 0-3 away",10,3,0,3,0,Los Angeles Chargers,LAC,"4-2, 2-1 home",0,10,3,3,3,SoFi Stadium,"70,240","71,500","Inglewood, CA ","8:15 PM, October 17, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437791,New Orleans Saints,NO,"2-5, 1-2 away",7,7,3,17,34,Arizona Cardinals,ARI,"3-4, 1-3 home",3,25,7,7,42,State Farm Stadium,"63,290","65,000","Glendale, AZ ","8:15 PM, October 20, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437794,Atlanta Falcons,ATL,"3-4, 1-3 away",0,17,0,0,17,Cincinnati Bengals,CIN,"4-3, 2-1 home",14,14,7,0,35,Paycor Stadium,"66,158","65,515","Cincinnati, OH ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437795,Detroit Lions,DET,"1-5, 0-3 away",3,3,0,0,6,Dallas Cowboys,DAL,"5-2, 3-1 home",0,3,7,14,24,AT&T Stadium,"93,487","100,000","Arlington, TX ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437797,Indianapolis Colts,IND,"3-3-1, 1-2-1 away",0,0,7,3,10,Tennessee Titans,TEN,"4-2, 2-1 home",3,10,0,6,19,Nissan Stadium,"69,459","69,143","Nashville, TN ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437798,Green Bay Packers,GB,"3-4, 1-2 away",7,7,0,7,21,Washington Commanders,WSH,"3-4, 2-2 home",3,7,10,3,23,FedExField,"60,427","67,617","Landover, MD ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437793,Tampa Bay Buccaneers,TB,"3-4, 2-2 away",0,0,0,3,3,Carolina Panthers,CAR,"2-5, 2-3 home",0,7,7,7,21,Bank of America Stadium,"71,941","73,778","Charlotte, NC ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437796,New York Giants,NYG,"6-1, 3-0 away",7,6,0,10,23,Jacksonville Jaguars,JAX,"2-5, 1-2 home",8,3,6,0,17,TIAA Bank Field,"65,664","67,858","Jacksonville, FL ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437792,Cleveland Browns,CLE,"2-5, 1-2 away",10,0,3,7,20,Baltimore Ravens,BAL,"4-3, 2-2 home",3,10,7,3,23,M&T Bank Stadium,"70,461","70,745","Baltimore, MD ","1:00 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437799,New York Jets,NYJ,"5-2, 4-0 away",7,3,0,6,16,Denver Broncos,DEN,"2-5, 2-2 home",6,3,0,0,9,Empower Field at Mile High,"76,624","76,125","Denver, CO ","4:05 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437800,Houston Texans,HOU,"1-4-1, 1-3 away",0,10,10,0,20,Las Vegas Raiders,LV,"2-4, 2-1 home",3,7,7,21,38,Allegiant Stadium,"61,228","65,000","Las Vegas, NV ","4:05 PM, October 23, 2022"
